"","zip"
"1619",78024
"1620",78025
"1621",78026
"1622",78027
"1623",78028
"1624",78029
"1625",78039
"1626",78040
"1627",78041
"1628",78042
"1629",78043
"1630",78044
"1631",78045
"1632",78046
"1633",78049
"1634",78050
"1635",78052
"1636",78054
"1637",78055
"1638",78056
"1639",78057
"1640",78058
"1641",78059
"1642",78060
"1643",78061
"1644",78062
"1645",78063
"1646",78064
"1647",78065
"1648",78066
"1649",78067
"1650",78069
"1651",78070
"1652",78071
"1653",78072
"1654",78073
"1655",78074
"1656",78075
"1657",78076
"1658",78101
"1659",78102
"1660",78104
"1661",78107
"1662",78108
"1663",78109
"1664",78111
"1665",78112
"1666",78113
"1667",78114
"1668",78115
"1669",78116
"1670",78117
"1671",78118
"1672",78119
"1673",78121
"1674",78122
"1675",78123
"1676",78124
"1677",78125
"1678",78130
"1679",78131
"1680",78132
"1681",78133
"1682",78135
"1683",78140
"1684",78141
"1685",78142
"1686",78143
"1687",78144
"1688",78145
"1689",78146
"1690",78147
"1691",78148
"1692",78150
"1693",78151
"1694",78152
"1695",78154
"1696",78155
"1697",78156
"1698",78159
"1699",78160
"1700",78161
"1701",78162
"1702",78163
"1703",78164
"1704",78201
"1705",78202
"1706",78203
"1707",78204
"1708",78205
"1709",78206
"1710",78207
"1711",78208
"1712",78209
"1713",78210
"1714",78211
"1715",78212
"1716",78213
"1717",78214
"1718",78215
"1719",78216
"1720",78217
"1721",78218
"1722",78219
"1723",78220
"1724",78221
"1725",78222
"1726",78223
"1727",78224
"1728",78225
"1729",78226
"1730",78227
"1731",78228
"1732",78229
"1733",78230
"1734",78231
"1735",78232
"1736",78233
"1737",78234
"1738",78235
"1739",78236
"1740",78237
"1741",78238
"1742",78239
"1743",78240
"1744",78241
"1745",78242
"1746",78243
"1747",78244
"1748",78245
"1749",78246
"1750",78247
"1751",78248
"1752",78249
"1753",78250
"1754",78251
"1755",78252
"1756",78253
"1757",78254
"1758",78255
"1759",78256
"1760",78257
"1761",78258
"1762",78259
"1763",78260
"1764",78261
"1765",78262
"1766",78263
"1767",78264
"1768",78265
"1769",78266
"1770",78268
"1771",78269
"1772",78270
"1773",78275
"1774",78278
"1775",78279
"1776",78280
"1777",78283
"1778",78284
"1779",78285
"1780",78286
"1781",78287
"1782",78288
"1783",78289
"1784",78291
"1785",78292
"1786",78293
"1787",78294
"1788",78295
"1789",78296
"1790",78297
"1791",78298
"1792",78299
"1793",78330
"1794",78332
"1795",78333
"1796",78335
"1797",78336
"1798",78338
"1799",78339
"1800",78340
"1801",78341
"1802",78342
"1803",78343
"1804",78344
"1805",78347
"1806",78349
"1807",78350
"1808",78351
"1809",78352
"1810",78353
"1811",78355
"1812",78357
"1813",78358
"1814",78359
"1815",78360
"1816",78361
"1817",78362
"1818",78363
"1819",78364
"1820",78368
"1821",78369
"1822",78370
"1823",78371
"1824",78372
"1825",78373
"1826",78374
"1827",78375
"1828",78376
"1829",78377
"1830",78379
"1831",78380
"1832",78381
"1833",78382
"1834",78383
"1835",78384
"1836",78385
"1837",78387
"1838",78389
"1839",78390
"1840",78391
"1841",78393
"1842",78401
"1843",78402
"1844",78403
"1845",78404
"1846",78405
"1847",78406
"1848",78407
"1849",78408
"1850",78409
"1851",78410
"1852",78411
"1853",78412
"1854",78413
"1855",78414
"1856",78415
"1857",78416
"1858",78417
"1859",78418
"1860",78419
"1861",78426
"1862",78427
"1863",78460
"1864",78461
"1865",78463
"1866",78465
"1867",78466
"1868",78467
"1869",78468
"1870",78469
"1871",78470
"1872",78471
"1873",78472
"1874",78473
"1875",78474
"1876",78475
"1877",78476
"1878",78477
"1879",78478
"1880",78480
"1881",78501
"1882",78502
"1883",78503
"1884",78504
"1885",78505
"1886",78516
"1887",78520
"1888",78521
"1889",78522
"1890",78523
"1891",78526
